,labels
57,"['1857', {'cx': 458, 'cy': 113, 'r': 25}]"
58,"['1904', {'cx': 67, 'cy': 69, 'r': 26}, {'cx': 620, 'cy': 129, 'r': 27}]"
59,"['1922', {'cx': 737, 'cy': 501, 'r': 20}]"
60,"['1946', {'cx': 508, 'cy': 564, 'r': 19}]"
61,"['1959', {'cx': 46, 'cy': 238, 'r': 16}, {'cx': 524, 'cy': 211, 'r': 28}]"
62,"['1963', {'cx': 2437, 'cy': 1761, 'r': 100}]"
63,"['2024', {'cx': 56, 'cy': 9, 'r': 28}]"
64,"['2048', {'cx': 2722, 'cy': 2668, 'r': 86}]"
65,"['2049', {'cx': 341, 'cy': 265, 'r': 36}]"
66,"['2052', {'cx': 897, 'cy': 209, 'r': 28}]"
67,"['2070', {'cx': 436, 'cy': 6, 'r': 23}]"
68,"['2078', {'cx': 499, 'cy': 366, 'r': 24}]"
69,"['2082', {'cx': 693, 'cy': 468, 'r': 29}, {'cx': 608, 'cy': 550, 'r': 20}]"
70,"['2088', {'cx': 466, 'cy': 504, 'r': 28}]"
71,"['212', {'cx': 132, 'cy': 546, 'r': 36}]"
72,"['2144', {'cx': 436, 'cy': 7, 'r': 23}]"
73,"['2145', {'cx': 638, 'cy': 509, 'r': 20}]"
74,"['2147', {'cx': 1969, 'cy': 1014, 'r': 116}, {'cx': 5247, 'cy': 634, 'r': 171}]"
75,"['2153', {'cx': 341, 'cy': 252, 'r': 25}]"
76,"['2167', {'cx': 880, 'cy': 390, 'r': 26}]"
77,"['2169', {'cx': 3505, 'cy': 2072, 'r': 115}, {'cx': 226, 'cy': 2427, 'r': 172}]"
78,"['2196', {'cx': 22, 'cy': 9, 'r': 33}, {'cx': 673, 'cy': 321, 'r': 25}]"
79,"['2201', {'cx': 145, 'cy': 472, 'r': 30}]"
80,"['2202', {'cx': 748, 'cy': 21, 'r': 36}]"
81,"['2219', {'cx': 689, 'cy': 437, 'r': 22}, {'cx': 1006, 'cy': 406, 'r': 37}]"
82,"['2232', {'cx': 92, 'cy': 464, 'r': 23}]"
83,"['2240', {'cx': 567, 'cy': 30, 'r': 21}]"
84,"['2264', {'cx': 135, 'cy': 564, 'r': 37}]"
85,"['2268', {'cx': 145, 'cy': 186, 'r': 32}]"
86,"['2299', {'cx': 132, 'cy': 546, 'r': 36}]"
87,"['2313', {'cx': 259, 'cy': 385, 'r': 31}, {'cx': 698, 'cy': 72, 'r': 23}]"
88,"['2322', {'cx': 341, 'cy': 251, 'r': 24}]"
89,"['2343', {'cx': 1006, 'cy': 406, 'r': 37}, {'cx': 689, 'cy': 437, 'r': 22}]"
90,"['2348', {'cx': 206, 'cy': 336, 'r': 30}]"
91,"['2376', {'cx': 689, 'cy': 437, 'r': 21}]"
92,"['2378', {'cx': 880, 'cy': 390, 'r': 26}]"
93,"['2398', {'cx': 620, 'cy': 130, 'r': 28}, {'cx': 67, 'cy': 69, 'r': 26}]"
94,"['240', {'cx': 275, 'cy': 98, 'r': 20}]"
95,"['2419', {'cx': 956, 'cy': 462, 'r': 19}]"
96,"['2439', {'cx': 56, 'cy': 9, 'r': 28}]"
97,"['2452', {'cx': 3269, 'cy': 1643, 'r': 97}]"
98,"['2459', {'cx': 3372, 'cy': 2977, 'r': 84}]"
99,"['2467', {'cx': 2574, 'cy': 1384, 'r': 99}, {'cx': 2368, 'cy': 1228, 'r': 193}]"
100,"['2468', {'cx': 122, 'cy': 132, 'r': 23}]"
101,"['2470', {'cx': 2711, 'cy': 2021, 'r': 100}, {'cx': 4288, 'cy': 559, 'r': 153}]"
102,"['2481', {'cx': 132, 'cy': 546, 'r': 36}]"
103,"['2501', {'cx': 80, 'cy': 433, 'r': 32}, {'cx': 110, 'cy': 441, 'r': 24}]"
104,"['2524', {'cx': 451, 'cy': 29, 'r': 21}, {'cx': 340, 'cy': 558, 'r': 20}]"
105,"['2583', {'cx': 2463, 'cy': 887, 'r': 96}]"
106,"['2594', {'cx': 266, 'cy': 542, 'r': 18}]"
107,"['2608', {'cx': 485, 'cy': 512, 'r': 22}, {'cx': 97, 'cy': 560, 'r': 23}]"
108,"['262', {'cx': 673, 'cy': 321, 'r': 25}]"
109,"['2631', {'cx': 458, 'cy': 113, 'r': 25}]"
110,"['2639', {'cx': 682, 'cy': 540, 'r': 34}]"
111,"['2649', {'cx': 341, 'cy': 252, 'r': 25}]"
112,"['2654', {'cx': 248, 'cy': 67, 'r': 30}, {'cx': 270, 'cy': 555, 'r': 27}, {'cx': 186, 'cy': 12, 'r': 33}]"
113,"['2711', {'cx': 266, 'cy': 542, 'r': 18}]"
114,"['2717', {'cx': 508, 'cy': 565, 'r': 19}]"
115,"['2749', {'cx': 467, 'cy': 504, 'r': 28}]"
116,"['2750', {'cx': 386, 'cy': 563, 'r': 30}]"
117,"['2776', {'cx': 458, 'cy': 113, 'r': 25}]"
118,"['2792', {'cx': 2975, 'cy': 629, 'r': 104}]"
119,"['2808', {'cx': 682, 'cy': 540, 'r': 34}]"
120,"['2824', {'cx': 414, 'cy': 35, 'r': 32}]"
121,"['2850', {'cx': 67, 'cy': 69, 'r': 26}, {'cx': 620, 'cy': 130, 'r': 28}]"
122,"['2873', {'cx': 2376, 'cy': 976, 'r': 86}, {'cx': 5318, 'cy': 1711, 'r': 87}, {'cx': 1604, 'cy': 901, 'r': 86}, {'cx': 1676, 'cy': 1079, 'r': 136}]"
123,"['2895', {'cx': 713, 'cy': 297, 'r': 20}]"
124,"['2950', {'cx': 878, 'cy': 106, 'r': 29}]"
125,"['2973', {'cx': 938, 'cy': 237, 'r': 57}]"
126,"['3017', {'cx': 897, 'cy': 209, 'r': 28}]"
127,"['3021', {'cx': 223, 'cy': 304, 'r': 55}]"
128,"['3025', {'cx': 508, 'cy': 564, 'r': 19}]"
129,"['3034', {'cx': 2470, 'cy': 2468, 'r': 100}]"
130,"['3041', {'cx': 508, 'cy': 387, 'r': 19}]"
131,"['3103', {'cx': 122, 'cy': 410, 'r': 24}]"
132,"['3112', {'cx': 693, 'cy': 468, 'r': 29}, {'cx': 608, 'cy': 549, 'r': 20}]"
133,"['3119', {'cx': 206, 'cy': 336, 'r': 31}]"
134,"['3140', {'cx': 5378, 'cy': 1200, 'r': 99}, {'cx': 1047, 'cy': 1228, 'r': 93}, {'cx': 1838, 'cy': 878, 'r': 118}, {'cx': 2577, 'cy': 749, 'r': 299}, {'cx': 4856, 'cy': 3028, 'r': 120}, {'cx': 2084, 'cy': 2285, 'r': 103}, {'cx': 3002, 'cy': 1010, 'r': 161}, {'cx': 1831, 'cy': 716, 'r': 79}]"
135,"['3149', {'cx': 259, 'cy': 385, 'r': 31}, {'cx': 928, 'cy': 447, 'r': 35}, {'cx': 698, 'cy': 72, 'r': 24}]"
136,"['3153', {'cx': 602, 'cy': 194, 'r': 28}]"
137,"['3162', {'cx': 938, 'cy': 237, 'r': 57}]"
138,"['3169', {'cx': 417, 'cy': 102, 'r': 17}]"
139,"['3188', {'cx': 586, 'cy': 568, 'r': 19}, {'cx': 657, 'cy': 36, 'r': 37}, {'cx': 266, 'cy': 105, 'r': 25}]"
140,"['32', {'cx': 92, 'cy': 464, 'r': 23}]"
141,"['321', {'cx': 385, 'cy': 245, 'r': 18}]"
142,"['3227', {'cx': 385, 'cy': 245, 'r': 18}]"
143,"['3235', {'cx': 248, 'cy': 67, 'r': 30}, {'cx': 272, 'cy': 555, 'r': 27}, {'cx': 186, 'cy': 12, 'r': 33}]"
144,"['3260', {'cx': 2566, 'cy': 120, 'r': 256}, {'cx': 2849, 'cy': 2542, 'r': 109}]"
145,"['3290', {'cx': 206, 'cy': 336, 'r': 30}]"
146,"['3300', {'cx': 1006, 'cy': 405, 'r': 38}, {'cx': 689, 'cy': 437, 'r': 22}]"
147,"['3322', {'cx': 1261, 'cy': 1648, 'r': 134}, {'cx': 1890, 'cy': 1432, 'r': 94}]"
148,"['3326', {'cx': 49, 'cy': 255, 'r': 70}]"
149,"['3341', {'cx': 713, 'cy': 297, 'r': 20}]"
150,"['3352', {'cx': 276, 'cy': 98, 'r': 19}]"
151,"['337', {'cx': 2991, 'cy': 841, 'r': 110}, {'cx': 2231, 'cy': 1452, 'r': 100}, {'cx': 1624, 'cy': 241, 'r': 80}]"
152,"['3422', {'cx': 897, 'cy': 209, 'r': 28}]"
153,"['343', {'cx': 122, 'cy': 132, 'r': 23}]"
154,"['351', {'cx': 223, 'cy': 304, 'r': 55}]"
155,"['37', {'cx': 3020, 'cy': 156, 'r': 97}]"
156,"['373', {'cx': 414, 'cy': 35, 'r': 32}]"
157,"['382', {'cx': 424, 'cy': 341, 'r': 38}]"
158,"['39', {'cx': 609, 'cy': 542, 'r': 22}]"
159,"['403', {'cx': 206, 'cy': 336, 'r': 30}]"
160,"['415', {'cx': 748, 'cy': 20, 'r': 37}]"
161,"['443', {'cx': 689, 'cy': 437, 'r': 21}]"
162,"['463', {'cx': 240, 'cy': 126, 'r': 27}]"
163,"['473', {'cx': 122, 'cy': 410, 'r': 24}]"
164,"['476', {'cx': 620, 'cy': 129, 'r': 27}, {'cx': 67, 'cy': 69, 'r': 26}]"
165,"['48', {'cx': 2769, 'cy': 1057, 'r': 126}]"
166,"['487', {'cx': 880, 'cy': 390, 'r': 26}]"
167,"['489', {'cx': 508, 'cy': 387, 'r': 19}]"
168,"['494', {'cx': 48, 'cy': 561, 'r': 17}]"
169,"['498', {'cx': 259, 'cy': 385, 'r': 31}, {'cx': 698, 'cy': 72, 'r': 24}]"
170,"['500', {'cx': 467, 'cy': 504, 'r': 27}]"
171,"['504', {'cx': 3187, 'cy': 2642, 'r': 64}]"
172,"['518', {'cx': 737, 'cy': 502, 'r': 21}]"
173,"['520', {'cx': 122, 'cy': 132, 'r': 23}]"
174,"['529', {'cx': 3394, 'cy': 2203, 'r': 94}]"
175,"['548', {'cx': 2569, 'cy': 1866, 'r': 101}]"
176,"['557', {'cx': 657, 'cy': 36, 'r': 37}, {'cx': 266, 'cy': 105, 'r': 25}]"
177,"['566', {'cx': 275, 'cy': 98, 'r': 20}]"
178,"['585', {'cx': 206, 'cy': 336, 'r': 30}]"
179,"['591', {'cx': 145, 'cy': 472, 'r': 30}]"
180,"['602', {'cx': 414, 'cy': 35, 'r': 32}]"
181,"['61', {'cx': 877, 'cy': 106, 'r': 29}]"
182,"['64', {'cx': 3883, 'cy': 2339, 'r': 83}, {'cx': 3693, 'cy': 2754, 'r': 94}, {'cx': 3853, 'cy': 2827, 'r': 80}]"
183,"['664', {'cx': 122, 'cy': 132, 'r': 23}]"
184,"['67', {'cx': 682, 'cy': 540, 'r': 34}]"
185,"['69', {'cx': 122, 'cy': 410, 'r': 24}]"
186,"['697', {'cx': 693, 'cy': 468, 'r': 29}, {'cx': 608, 'cy': 549, 'r': 20}]"
187,"['735', {'cx': 586, 'cy': 568, 'r': 19}, {'cx': 657, 'cy': 36, 'r': 37}, {'cx': 266, 'cy': 105, 'r': 24}]"
188,"['759', {'cx': 451, 'cy': 29, 'r': 21}, {'cx': 340, 'cy': 558, 'r': 20}]"
189,"['761', {'cx': 341, 'cy': 265, 'r': 36}]"
190,"['762', {'cx': 91, 'cy': 464, 'r': 24}]"
191,"['763', {'cx': 106, 'cy': 318, 'r': 26}]"
192,"['764', {'cx': 341, 'cy': 252, 'r': 25}]"
193,"['79', {'cx': 3258, 'cy': 127, 'r': 84}, {'cx': 3121, 'cy': 242, 'r': 98}]"
194,"['791', {'cx': 3892, 'cy': 1581, 'r': 97}]"
195,"['804', {'cx': 638, 'cy': 509, 'r': 20}]"
196,"['876', {'cx': 414, 'cy': 35, 'r': 32}]"
197,"['890', {'cx': 3872, 'cy': 2168, 'r': 78}, {'cx': 4303, 'cy': 3032, 'r': 105}]"
198,"['900', {'cx': 145, 'cy': 186, 'r': 31}]"
199,"['910', {'cx': 693, 'cy': 468, 'r': 29}, {'cx': 608, 'cy': 549, 'r': 20}]"
200,"['917', {'cx': 385, 'cy': 245, 'r': 18}]"
201,"['918', {'cx': 1950, 'cy': 2426, 'r': 102}, {'cx': 2531, 'cy': 1997, 'r': 105}]"
202,"['951', {'cx': 240, 'cy': 126, 'r': 27}]"
203,"['960', {'cx': 79, 'cy': 433, 'r': 31}, {'cx': 110, 'cy': 441, 'r': 24}]"
204,"['997', {'cx': 531, 'cy': 18, 'r': 25}]"
